,text,class,embedding
0,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0,"[-0.37757756 -0.06469323  0.01042397 -0.08868263 -0.02764193 -0.07996468
 -0.01875863  0.07491427 -0.24434319 -0.03523256 -0.06306988 -0.037878
 -0.10708051  0.13587983 -0.19949082  0.02761186 -0.09469501  0.03421045
  0.08898324 -0.01784174 -0.00420115  0.08597706  0.01138595 -0.08146777
  0.0444315  -0.06138641 -0.10894435  0.00939435 -0.05967288 -0.01540673
 -0.15319548 -0.03571355  0.00419364 -0.11880466  0.01569232  0.09006548
  0.1297472   0.11104869  0.08639792  0.18265615 -0.26646876  0.06637669
 -0.11417513  0.09800182 -0.02639435 -0.11525736 -0.24746962  0.1575244
  0.01775156  0.01137843  0.24819111  0.03198587  0.04043326 -0.08369235
 -0.07840146  0.06902214 -0.0099054   0.15343597 -0.0696835  -0.1522335
 -0.4155758  -0.05056413  0.03736695  0.12247221]"
1,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,"[ 0.00085246  0.08452083  0.00521233 -0.0262489  -0.01409981  0.07203622
  0.00965997  0.30662209  0.06741691  0.12085105 -0.02361152  0.02128626
 -0.25181464 -0.22834357 -0.20112711  0.00298655 -0.17178828 -0.16180058
  0.0046037   0.10281078  0.08920255 -0.12859151  0.11348513 -0.13458412
 -0.11904078 -0.01025299 -0.08427114  0.08982679 -0.00160837  0.09425883
 -0.0397947  -0.00832568 -0.04965755  0.10680586  0.05449533  0.0389832
  0.14619482 -0.01392815 -0.12003955  0.01518441  0.1824002   0.19039035
 -0.15905397  0.05680499  0.06314093 -0.00862219 -0.08726744  0.01469283
 -0.07184895 -0.12503339  0.03327149  0.15555827 -0.08483295 -0.09900298
 -0.04638034  0.09475822  0.02295608  0.50063298 -0.12384736  0.06242306
 -0.10181202 -0.01182917  0.14856689  0.11404694]"
2,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,"[-0.07609121  0.03481561 -0.009162    0.01925573 -0.05590374  0.00746936
 -0.12615611  0.29641406 -0.08913541 -0.13839282  0.2795187  -0.06851314
 -0.14994626 -0.04959904 -0.21243421 -0.06733295 -0.05782931 -0.06838891
 -0.0133936  -0.01756309 -0.04711443 -0.1496978  -0.15789701  0.12845438
  0.1362809   0.06745718 -0.07733351 -0.04388444  0.15156126 -0.03596474
  0.04285954 -0.01802896 -0.1033598   0.08205427 -0.16249354 -0.03229994
  0.09913597 -0.20075654  0.17665583  0.15963624 -0.02639899  0.13441744
 -0.12137323  0.14211974  0.0895081  -0.05208365 -0.14348627 -0.0287749
  0.02841774 -0.11441633  0.0514625  -0.0233864  -0.01207366 -0.07373082
  0.12447899  0.14758588  0.09416675  0.26336873  0.13839282  0.15777278
 -0.15851816 -0.00951917  0.33964627 -0.09329714]"
3,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,"[ 0.03395585  0.19306536 -0.05936868  0.02469189  0.0117692   0.09689315
 -0.13113737  0.04037214 -0.13070482  0.15831648 -0.1381304   0.13870715
  0.05980124 -0.04094889  0.16941881  0.17734905 -0.29284222 -0.03831749
 -0.0099128  -0.07468847  0.19191186 -0.12623504 -0.14735832  0.09249546
  0.19306536  0.05104192  0.20359095  0.04851866  0.00367224  0.16206531
 -0.00133372  0.06769543 -0.04278726  0.18470255  0.11354665  0.11138386
 -0.02863899  0.154856   -0.01204856 -0.02469189  0.0116881  -0.1382025
  0.00204677  0.04567098  0.13409319  0.0145538  -0.00809245  0.00993984
 -0.03110818  0.09393732  0.15932578 -0.13272342 -0.10828386 -0.09249546
  0.07865358  0.00078458  0.07176869  0.47610291  0.109942   -0.07212916
 -0.1120327   0.0043774   0.13603971  0.08240243]"
4,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,"[-0.03439217  0.09875638  0.00565382  0.07060083 -0.11001861 -0.02910922
 -0.13308801  0.24038189  0.02562762 -0.08325569 -0.06805774 -0.09239868
 -0.08773636 -0.07792733 -0.20090356  0.10257101 -0.0821658  -0.11637632
 -0.03860037 -0.09445737 -0.05867255 -0.06260828  0.16990215  0.09760595
 -0.01058861 -0.01857359  0.09778759  0.00743246 -0.11213785  0.22040053
  0.24897992 -0.04952957 -0.21156028  0.02160107 -0.15512806 -0.01509199
  0.24994872  0.11534698  0.02244876  0.07962271 -0.04344433  0.2242757
 -0.22548669  0.07029808 -0.24595244 -0.10886817 -0.06496971  0.00117882
  0.02742897 -0.04507917  0.12654865  0.11910105 -0.05682579  0.20429434
  0.00343997  0.00752707  0.004159    0.34949224  0.04044713 -0.07683743
  0.00388653 -0.19097341  0.13042383  0.0126473 ]"
5,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1,"[-0.1468852   0.00078046 -0.0333282  -0.05728661  0.02511241  0.02838495
 -0.0888063   0.13806658 -0.17210096 -0.05387628  0.0089478  -0.13861774
  0.09169991 -0.08915078 -0.23190224  0.10485895  0.07220248 -0.04967366
  0.18436435 -0.07172021 -0.02151262 -0.05869896 -0.17265211  0.01068741
  0.01071325  0.02624919  0.0604558  -0.00648048 -0.05832004  0.05873341
  0.12373631  0.04423091 -0.1361375   0.23686273 -0.05132715  0.17568352
  0.11726014  0.06338386  0.0080091   0.1851911  -0.05752774  0.04185402
 -0.01028265 -0.01844677  0.12070491  0.08701502 -0.0535318  -0.00388614
 -0.2616651  -0.04474763 -0.05769998 -0.04678005 -0.04078614  0.11691566
 -0.06972225  0.05160273  0.05697658  0.56990359  0.12263398  0.22459932
  0.01632823 -0.13703315  0.01181558  0.03303539]"
6,Raute is listed on the Nordic exchange in Helsinki .,1,"[-7.09094607e-02 -4.35528360e-02 -1.00171518e-01 -7.29509992e-02
 -3.50804491e-02 -3.91975524e-02 -1.04594859e-01  1.80063757e-01
  4.01842952e-02 -1.08609883e-01 -8.48599751e-02 -3.61352424e-02
 -3.61692688e-02 -2.08236997e-01  3.28687809e-02  1.16639941e-01
 -6.00893022e-02 -1.78158315e-01 -4.76018865e-02 -7.40398212e-02
  1.91904690e-01 -1.22288196e-01  5.91706122e-02 -4.26341414e-02
 -1.93265709e-01 -9.60203884e-02 -1.04458754e-01 -1.08190943e-03
 -2.23378422e-02 -3.69858842e-02  1.04118499e-01 -5.52916845e-02
 -2.73055874e-02  1.65636873e-01 -5.52576581e-02  3.53186270e-02
  2.89898554e-01 -6.44786122e-02 -1.51073902e-01  1.06228090e-01
  9.04401864e-02  4.93031701e-02 -1.47399133e-01  6.89359704e-02
  2.85305105e-02  2.41768205e-04  1.32768099e-01  8.19337684e-02
  4.70574778e-02 -1.20314710e-01 -3.24264467e-02  1.65092469e-01
 -1.23649224e-01 -2.89005390e-03 -2.06535719e-02 -1.45034343e-02
  1.68358931e-01  5.56659667e-01  3.76663986e-02  1.77477806e-01
 -5.42368888e-02  1.56517998e-01  1.58814740e-02 -8.89770842e-03]"
7,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,2,"[ 0.01765415  0.05879227 -0.03603291  0.00745608 -0.07746746 -0.10888921
  0.05467516  0.14900628 -0.15388094 -0.02157363  0.12357905 -0.28114891
 -0.00204723 -0.15941432 -0.07865318  0.16942713  0.06640068  0.04825248
  0.0124666  -0.1269386  -0.18958448 -0.12496239  0.28615531  0.02152423
  0.06663124 -0.04515641 -0.0703531   0.02756814 -0.01142085 -0.0509533
  0.06613718  0.07871906 -0.06172365 -0.24834381 -0.12739972  0.23991198
  0.05098623  0.09281603 -0.05665137  0.07134121  0.11211702 -0.09268428
 -0.2866823   0.07931192 -0.01413814  0.16507946 -0.03767975 -0.01277126
 -0.10388281 -0.1907702   0.15954608  0.17812246  0.00433531  0.05230371
  0.07147296  0.05161204 -0.06264588  0.2391215   0.01417931  0.09769069
 -0.26797417  0.02468617  0.15756987  0.10105024]"
8,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,1,"[-0.03563178  0.17128818 -0.00785337 -0.22408073  0.08315147 -0.01815143
 -0.09075717  0.04627337 -0.14214363 -0.02051623  0.09241892  0.09254675
 -0.08692236 -0.23750257 -0.19353009  0.13217312 -0.01587452 -0.03077435
 -0.09030977 -0.05292038  0.00155589 -0.04966079 -0.05969521 -0.05710671
  0.18637177  0.03889136 -0.00196334  0.11306298 -0.08270407 -0.08692236
  0.0340659   0.01513951  0.04096855  0.03985007 -0.00906773  0.04879796
  0.22305812 -0.08366277 -0.02169863  0.11683388  0.22050157 -0.02962391
  0.11638649  0.109356    0.07784665  0.1547985  -0.16732554  0.01400505
  0.10047202 -0.03329893 -0.09874636 -0.11619474 -0.09555069  0.06078174
  0.10941991 -0.03242012  0.24261564  0.50440535  0.01376537  0.07854969
 -0.00514504 -0.05176994  0.21027542 -0.14802367]"
9,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,0,"[-0.0128294  -0.17194541 -0.03742053  0.06868015  0.2023299  -0.03199473
  0.15864344  0.19714912 -0.0385757   0.16046371 -0.07372089  0.13967064
 -0.223333   -0.34109039 -0.02483617  0.01245309 -0.29376341 -0.0114817
  0.13413982  0.21059111  0.05471308 -0.11222658 -0.09290372  0.07204065
 -0.11502699  0.09157353 -0.03675543  0.05807358 -0.1590635  -0.04571676
  0.05250776 -0.00737296  0.0846425  -0.12986919 -0.10515554  0.07869163
  0.21941241  0.04568175 -0.23803518  0.03484765  0.11544706  0.02653392
  0.01247934 -0.02963188 -0.1001848  -0.0643045   0.19938946 -0.11481696
  0.08100197 -0.0196204  -0.0589137   0.08135202 -0.15990363  0.10900611
  0.00878192  0.07260073  0.04785207 -0.05180766  0.05068749  0.19392865
 -0.09199359  0.08429246  0.19406867  0.12034778]"
